GadsPusgads,CenaCentrs,DarijumiCentrs,CenaMikrorajoni,DarijumiMikrorajoni,CenaJurmala,DarijumiJurmala
2011-1,"1019","97","449","1165","310","78"
2011-2,"885","138","446","1492","334","83"
2012-1,"863","132","470","1411","329","92"
2012-2,"1050","191","498","1671","323","99"
2013-1,"922","152","541","1743","343","107"
2013-2,"961","193","548","1950","340","130"
2014-1,"980","167","594","1821","352","134"
2014-2,"931","143","601","2036","341","140"
2015-1,"957","112","629","1712","376","104"
2015-2,"1026","189","638","2038","383","120"
2016-1,"1017","190","689","2083","415","149"
2016-2,"1092","158","719","2193","427","150"
2017-1,"1180","124","785","1983","492","148"
2017-2,"1227","149","809","2047","491","135"
2018-1,"1229","146","844","1944","526","115"
2018-2,"1224","186","859","2140","544","114"
2019-1,"1339","149","892","1959","590","115"
2019-2,"1388","164","886","2008","577","117"
2020-1,"1484","115","852","1398","561","87"
2020-2,"1509","254","853","2126","588","118"
2021-1,"1521","179","903","2092","725","119"
2021-2,"1497","229","969","2461","806","125"
2022-1,"1605","188","1027","2229","867","114"
2022-2,"1580","213","995","2210","848","86"
2023-1,"1663","174","949","2091","861","81"
2023-2,"1552","158","919","2360","851","97"
2024-1,"1737","208","934","2273","842","91"